month,day_or_index,month_id,theme,motif,category,difficulty,selection_phase,availability,display_title,display_title_key,internal_id,asset_file_name,palette_count,grid_size,estimated_minutes,sort_order,prompt,notes
2,11,month-02,valentine_winter,scarf_bear,animals,medium,mid,always,Scarf Bear,,daily_02_011_scarf_bear_medium,daily_02_011_scarf_bear_medium,8,32,8,3211,"simple scarf bear sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 8 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,12,month-02,valentine_winter,cupid_arrow,objects,medium,mid,always,Cupid Arrow,,daily_02_012_cupid_arrow_medium,daily_02_012_cupid_arrow_medium,9,32,9,3212,"simple cupid arrow sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 9 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,13,month-02,valentine_winter,cherry_truffle,food,medium,mid,always,Cherry Truffle,,daily_02_013_cherry_truffle_medium,daily_02_013_cherry_truffle_medium,7,32,7,3213,"simple cherry truffle sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 7 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,14,month-02,valentine_winter,marshmallow_cup,objects,medium,mid,always,Marshmallow Cup,,daily_02_014_marshmallow_cup_medium,daily_02_014_marshmallow_cup_medium,8,32,8,3214,"simple marshmallow cup sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 8 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,15,month-02,valentine_winter,heart_balloon,seasonal,medium,mid,always,Heart Balloon,,daily_02_015_heart_balloon_medium,daily_02_015_heart_balloon_medium,6,32,6,3215,"simple heart balloon sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 6 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,16,month-02,valentine_winter,lace_cupcake,food,medium,mid,always,Lace Cupcake,,daily_02_016_lace_cupcake_medium,daily_02_016_lace_cupcake_medium,7,32,7,3216,"simple lace cupcake sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 7 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,17,month-02,valentine_winter,ribbon_bouquet,objects,medium,mid,always,Ribbon Bouquet,,daily_02_017_ribbon_bouquet_medium,daily_02_017_ribbon_bouquet_medium,7,32,7,3217,"simple ribbon bouquet sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 7 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,18,month-02,valentine_winter,plum_tea,food,medium,mid,always,Plum Tea,,daily_02_018_plum_tea_medium,daily_02_018_plum_tea_medium,8,32,8,3218,"simple plum tea sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 8 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,19,month-02,valentine_winter,moon_fox,animals,medium,mid,always,Moon Fox,,daily_02_019_moon_fox_medium,daily_02_019_moon_fox_medium,6,32,6,3219,"simple moon fox sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 6 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,20,month-02,valentine_winter,sweater_duck,animals,medium,mid,always,Sweater Duck,,daily_02_020_sweater_duck_medium,daily_02_020_sweater_duck_medium,7,32,7,3220,"simple sweater duck sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 7 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,21,month-02,valentine_winter,chocolate_pretzel,food,medium,late,always,Chocolate Pretzel,,daily_02_021_chocolate_pretzel_medium,daily_02_021_chocolate_pretzel_medium,8,32,8,3221,"simple chocolate pretzel sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 8 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,22,month-02,valentine_winter,gift_box,objects,medium,late,always,Gift Box,,daily_02_022_gift_box_medium,daily_02_022_gift_box_medium,9,32,9,3222,"simple gift box sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 9 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,23,month-02,valentine_winter,cherry_sundae,food,medium,late,always,Cherry Sundae,,daily_02_023_cherry_sundae_medium,daily_02_023_cherry_sundae_medium,6,32,6,3223,"simple cherry sundae sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 6 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
2,24,month-02,valentine_winter,blush_heart,seasonal,hard,late,always,Blush Heart,,daily_02_024_blush_heart_hard,daily_02_024_blush_heart_hard,14,32,13,3224,"simple blush heart sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 14 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
2,25,month-02,valentine_winter,knit_hat,objects,hard,late,always,Knit Hat,,daily_02_025_knit_hat_hard,daily_02_025_knit_hat_hard,9,32,8,3225,"simple knit hat sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 9 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
2,26,month-02,valentine_winter,cookie_tin,food,hard,late,always,Cookie Tin,,daily_02_026_cookie_tin_hard,daily_02_026_cookie_tin_hard,10,32,9,3226,"simple cookie tin sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 10 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
2,27,month-02,valentine_winter,snowdrop_bloom,seasonal,hard,late,always,Snowdrop Bloom,,daily_02_027_snowdrop_bloom_hard,daily_02_027_snowdrop_bloom_hard,11,32,10,3227,"simple snowdrop bloom sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 11 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
2,28,month-02,valentine_winter,candy_jar,food,hard,late,always,Candy Jar,,daily_02_028_candy_jar_hard,daily_02_028_candy_jar_hard,12,32,11,3228,"simple candy jar sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 12 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
2,29,month-02,valentine_winter,leap_frog,animals,medium,late,leap_year_only,Leap Frog,,daily_02_029_leap_frog_medium,daily_02_029_leap_frog_medium,6,32,6,3229,"simple leap frog sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 6 colors, cherry red, cocoa brown, blush pink, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,1,month-03,spring_blossom,hina_dolls,objects,easy,early,always,Hina Dolls,,daily_03_001_hina_dolls_easy,daily_03_001_hina_dolls_easy,4,32,4,3301,"simple hina dolls sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 4 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,2,month-03,spring_blossom,peach_blossom,plants,easy,early,always,Peach Blossom,,daily_03_002_peach_blossom_easy,daily_03_002_peach_blossom_easy,5,32,5,3302,"simple peach blossom sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,3,month-03,spring_blossom,sprout_boots,plants,easy,early,always,Sprout Boots,,daily_03_003_sprout_boots_easy,daily_03_003_sprout_boots_easy,5,32,5,3303,"simple sprout boots sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,4,month-03,spring_blossom,songbird,animals,easy,early,always,Songbird,,daily_03_004_songbird_easy,daily_03_004_songbird_easy,6,32,6,3304,"simple songbird sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 6 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,5,month-03,spring_blossom,sakura_branch,plants,easy,early,always,Sakura Branch,,daily_03_005_sakura_branch_easy,daily_03_005_sakura_branch_easy,4,32,4,3305,"simple sakura branch sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 4 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,6,month-03,spring_blossom,graduation_cap,objects,easy,early,always,Graduation Cap,,daily_03_006_graduation_cap_easy,daily_03_006_graduation_cap_easy,5,32,5,3306,"simple graduation cap sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,7,month-03,spring_blossom,ribbon_badge,objects,easy,early,always,Ribbon Badge,,daily_03_007_ribbon_badge_easy,daily_03_007_ribbon_badge_easy,6,32,6,3307,"simple ribbon badge sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 6 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,8,month-03,spring_blossom,blossom_teacup,food,easy,early,always,Blossom Teacup,,daily_03_008_blossom_teacup_easy,daily_03_008_blossom_teacup_easy,4,32,4,3308,"simple blossom teacup sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 4 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,9,month-03,spring_blossom,nest_egg,objects,easy,early,always,Nest Egg,,daily_03_009_nest_egg_easy,daily_03_009_nest_egg_easy,5,32,5,3309,"simple nest egg sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,10,month-03,spring_blossom,tulip_bud,plants,easy,early,always,Tulip Bud,,daily_03_010_tulip_bud_easy,daily_03_010_tulip_bud_easy,6,32,6,3310,"simple tulip bud sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 6 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,11,month-03,spring_blossom,notebook_flower,plants,easy,mid,always,Notebook Flower,,daily_03_011_notebook_flower_easy,daily_03_011_notebook_flower_easy,5,32,5,3311,"simple notebook flower sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
3,12,month-03,spring_blossom,pastel_umbrella,objects,medium,mid,always,Pastel Umbrella,,daily_03_012_pastel_umbrella_medium,daily_03_012_pastel_umbrella_medium,9,32,9,3312,"simple pastel umbrella sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 9 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,13,month-03,spring_blossom,cloud_rabbit,animals,medium,mid,always,Cloud Rabbit,,daily_03_013_cloud_rabbit_medium,daily_03_013_cloud_rabbit_medium,7,32,7,3313,"simple cloud rabbit sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 7 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,14,month-03,spring_blossom,school_bag,objects,medium,mid,always,School Bag,,daily_03_014_school_bag_medium,daily_03_014_school_bag_medium,8,32,8,3314,"simple school bag sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 8 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,15,month-03,spring_blossom,cherry_parfait,food,medium,mid,always,Cherry Parfait,,daily_03_015_cherry_parfait_medium,daily_03_015_cherry_parfait_medium,6,32,6,3315,"simple cherry parfait sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 6 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,16,month-03,spring_blossom,pinwheel,objects,medium,mid,always,Pinwheel,,daily_03_016_pinwheel_medium,daily_03_016_pinwheel_medium,7,32,7,3316,"simple pinwheel sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 7 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,17,month-03,spring_blossom,canary,animals,medium,mid,always,Canary,,daily_03_017_canary_medium,daily_03_017_canary_medium,7,32,7,3317,"simple canary sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 7 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,18,month-03,spring_blossom,paper_crane,animals,medium,mid,always,Paper Crane,,daily_03_018_paper_crane_medium,daily_03_018_paper_crane_medium,8,32,8,3318,"simple paper crane sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 8 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,19,month-03,spring_blossom,sakura_lantern,seasonal,medium,mid,always,Sakura Lantern,,daily_03_019_sakura_lantern_medium,daily_03_019_sakura_lantern_medium,6,32,6,3319,"simple sakura lantern sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 6 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,20,month-03,spring_blossom,clover_cap,plants,medium,mid,always,Clover Cap,,daily_03_020_clover_cap_medium,daily_03_020_clover_cap_medium,7,32,7,3320,"simple clover cap sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 7 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,21,month-03,spring_blossom,pastel_macaron,objects,medium,late,always,Pastel Macaron,,daily_03_021_pastel_macaron_medium,daily_03_021_pastel_macaron_medium,8,32,8,3321,"simple pastel macaron sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 8 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,22,month-03,spring_blossom,picnic_kettle,objects,medium,late,always,Picnic Kettle,,daily_03_022_picnic_kettle_medium,daily_03_022_picnic_kettle_medium,9,32,9,3322,"simple picnic kettle sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 9 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,23,month-03,spring_blossom,bud_vase,objects,medium,late,always,Bud Vase,,daily_03_023_bud_vase_medium,daily_03_023_bud_vase_medium,6,32,6,3323,"simple bud vase sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 6 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,24,month-03,spring_blossom,letter_note,objects,medium,late,always,Letter Note,,daily_03_024_letter_note_medium,daily_03_024_letter_note_medium,7,32,7,3324,"simple letter note sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 7 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,25,month-03,spring_blossom,blossom_bento,plants,medium,late,always,Blossom Bento,,daily_03_025_blossom_bento_medium,daily_03_025_blossom_bento_medium,8,32,8,3325,"simple blossom bento sticker, centered, chunky pixel art, bold readable silhouette, clean separated color regions, medium detail, a few reward accents, satisfying mid-game reveal, around 8 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",balanced color spread; visible silhouette from mid-progress; moderate detail
3,26,month-03,spring_blossom,swan_feather,objects,hard,late,always,Swan Feather,,daily_03_026_swan_feather_hard,daily_03_026_swan_feather_hard,10,32,9,3326,"simple swan feather sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 10 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
3,27,month-03,spring_blossom,study_cat,animals,hard,late,always,Study Cat,,daily_03_027_study_cat_hard,daily_03_027_study_cat_hard,11,32,10,3327,"simple study cat sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 11 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
3,28,month-03,spring_blossom,seed_packet,plants,hard,late,always,Seed Packet,,daily_03_028_seed_packet_hard,daily_03_028_seed_packet_hard,12,32,11,3328,"simple seed packet sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 12 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
3,29,month-03,spring_blossom,farewell_bouquet,objects,hard,late,always,Farewell Bouquet,,daily_03_029_farewell_bouquet_hard,daily_03_029_farewell_bouquet_hard,13,32,12,3329,"simple farewell bouquet sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 13 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
3,30,month-03,spring_blossom,tiny_kite,seasonal,hard,late,always,Tiny Kite,,daily_03_030_tiny_kite_hard,daily_03_030_tiny_kite_hard,14,32,13,3330,"simple tiny kite sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 14 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
3,31,month-03,spring_blossom,spring_puddle,seasonal,hard,late,always,Spring Puddle,,daily_03_031_spring_puddle_hard,daily_03_031_spring_puddle_hard,9,32,8,3331,"simple spring puddle sticker, centered, chunky pixel art, bold readable silhouette, layered details with clean borders, no noisy dithering, distinct color blocks, advanced but readable, around 9 colors, sakura pink, sky blue, mint green, and cream palette, no background, no text",late-month challenge; richer palette; detail kept readable without checkerboarding
4,1,month-04,fresh_start_spring,school_satchel,objects,easy,early,always,School Satchel,,daily_04_001_school_satchel_easy,daily_04_001_school_satchel_easy,4,32,4,3401,"simple school satchel sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 4 colors, fresh yellow, leaf green, sky blue, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
4,2,month-04,fresh_start_spring,cherry_notebook,objects,easy,early,always,Cherry Notebook,,daily_04_002_cherry_notebook_easy,daily_04_002_cherry_notebook_easy,5,32,5,3402,"simple cherry notebook sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, fresh yellow, leaf green, sky blue, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
4,3,month-04,fresh_start_spring,dandelion_puff,objects,easy,early,always,Dandelion Puff,,daily_04_003_dandelion_puff_easy,daily_04_003_dandelion_puff_easy,5,32,5,3403,"simple dandelion puff sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 5 colors, fresh yellow, leaf green, sky blue, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
4,4,month-04,fresh_start_spring,yellow_butterfly,objects,easy,early,always,Yellow Butterfly,,daily_04_004_yellow_butterfly_easy,daily_04_004_yellow_butterfly_easy,6,32,6,3404,"simple yellow butterfly sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 6 colors, fresh yellow, leaf green, sky blue, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
4,5,month-04,fresh_start_spring,rain_boots,objects,easy,early,always,Rain Boots,,daily_04_005_rain_boots_easy,daily_04_005_rain_boots_easy,4,32,4,3405,"simple rain boots sticker, centered, chunky pixel art, bold readable silhouette, large fill zones, very few isolated pixels, minimal tiny details, satisfying early shape reveal, around 4 colors, fresh yellow, leaf green, sky blue, and cream palette, no background, no text",large primary shapes first; low island count; beginner-friendly fill flow
